DRUG_NAME_UCASE,DRUG_ID
CLIOQUINOL/HYDROCORTISONE/PRAMOXINE TOPICAL,d03553
ISOPROPYL ALCOHOL TOPICAL,d03647
MULTIVITAMIN,d03140
DEXBROMPHENIRAMINE-PSEUDOEPHEDRINE,d03751
PSEUDOEPHEDRINE,d00769
OXYMETAZOLINE NASAL,d00772
OCULAR LUBRICANT,d03768
LORATADINE,d03050
TRIAMCINOLONE NASAL,d04233
FEXOFENADINE,d04040
BACILLUS COAGULANS,d08421
POVIDONE IODINE TOPICAL,d00346
SODIUM CHLORIDE NASAL,d04242
DIPHENHYDRAMINE,d00212
PHENYLEPHRINE NASAL,d04186
NAPHAZOLINE/PHENYLEPHRINE/PYRILAMINE NASAL,d03272
5-HYDROXYTRYPTOPHAN,d04726
DEHYDROEPIANDROSTERONE (PRASTERONE),d04425
ACETAMINOPHEN,d00049
METHOXSALEN,d01434
"VITAMINS A, D, AND E TOPICAL",d03232
MULTIVITAMIN WITH MINERALS,d03145
WITCH HAZEL TOPICAL,d03762
CHORIONIC GONADOTROPIN (HCG),d00572
CHLORPHENIRAMINE-PHENYLPROPANOLAMINE,d03299
ANTIPYRINE-BENZOCAINE OTIC,d03627
VITAMIN A,d00402
ERYTHROMYCIN TOPICAL,d03200
VITAMIN A AND D TOPICAL,d03136
PIPERONYL BUTOXIDE-PYRETHRINS TOPICAL,d04002
ASPIRIN-CAFFEINE,d03449
ACETIC/ANTIPYRINE/BENZOCAINE/POLYCOS OTIC,d06857
ABACAVIR,d04376
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,d04727
ABACAVIR-LAMIVUDINE,d05354
CHLOPHEDIANOL/DEXCHLORPHENIRAMINE/PSEUDOEPHEDRINE,d07300
CYANOCOBALAMIN-METHYLCOBALAMIN,d08367
LACTOBACILLUS ACIDOPHILUS,d03644
MULTIVITAMIN WITH IRON,d03141
DEXCHLORPHENIRAMINE/DEXTROMETHORPHAN/PSEUDOEPHEDRINE,d04818
UROKINASE,d00523
IDECABTAGENE VICLEUCEL,d09745
AMPHOTERICIN B LIPID COMPLEX,d03870
NIACINAMIDE-SULFACETAMIDE SODIUM TOPICAL,d09639
ESTRADIOL-NORETHINDRONE,d04375
ARIPIPRAZOLE,d04825
ABIRATERONE,d07766
GADOFOSVESET TRISODIUM,d05846
GUAIFENESIN-PSEUDOEPHEDRINE,d03379
ETHANOL,d03162
PACLITAXEL PROTEIN-BOUND,d05427
DOCOSANOL TOPICAL,d04702
GLYCERIN-LIDOCAINE TOPICAL,d10216
ADALIMUMAB,d04835
"RSV VACCINE, PREF A-PREF B, RECOMBINANT",d10063
"EMOLLIENTS, TOPICAL",d03770
TOLNAFTATE TOPICAL,d01274
MENTHOL TOPICAL,d03665
METHYL SALICYLATE TOPICAL,d03668
ISOTRETINOIN,d01245
FENTANYL,d00233
SMALLPOX VACCINE,d04831
ACAMPROSATE,d04986
BENZOYL PEROXIDE-CLINDAMYCIN TOPICAL,d04742
ACARBOSE,d03846
EMTRICITABINE-TENOFOVIR,d05352
EMTRICITABINE/LOPINAVIR/RITONAVIR/TENOFOVIR,d07531
